PESSOA;IDADE;RENDIMENTO_ANUAL;SITUACAO_PROPRIEDADE;ANOS_TRABALHADOS;EMPRESTIMO;MOTIVO_EMPRESTIMO;PONTUACAO;VALOR_EMPRESTIMO;JUROS;POSSIB_INADIMPLENCIA;EMPRESTIMO_PERC_RENDA_ANUAL;SOLICITACAO;INADIMPLENTE;ANOS_PRIMEIRO_CREDITO
bLi18O5K-31eI;22;55000;Própria;6.0;HpY5JrYs-x2bv;Educativo;B;25000;10.74;0;0.45;dDoO2g97-yxWH;0;2
g4JfbgOc-WHOB;31;76000;Alugada;4.0;8Qhsx0cn-hx45;Melhora do lar;A;6000;7.49;0;0.08;8SelGHyw-9ksb;0;5
xZjlTQmr-sX7I;22;50000;Hipotecada;0.0;0DEl6qTs-hfiQ;Pagamento de débitos;A;12800;5.79;0;0.26;PTHgNlLP-XvtB;0;2
tYYSMDPW-jrAJ;25;30000;Alugada;4.0;SDTBNNnE-nHvx;Médico;C;2000;14.22;0;0.07;xgEmLOka-o5zX;1;4
J3jGNZeh-OzZE;26;84996;Alugada;0.0;NaelpPC5-t2kz;Médico;B;9000;11.26;0;0.11;GvqL52S8-S8OH;0;2
QCrl3MTd-8H85;24;55782;Alugada;3.0;Dy72mlJI-6TUS;Melhora do lar;A;17000;7.51;0;0.3;u0KE1FJ7-gAEQ;0;2
Qlxd2JHS-SznC;28;53376;Alugada;5.0;KbaYnLW6-dsLj;Pessoal;A;10000;5.42;0;0.19;jCsKD2jl-kWuQ;0;5
M7v6eyLG-26D0;23;44340;Própria;0.0;IOMkIRcN-wXBu;Empreendimento;C;3000;12.98;0;0.07;JBSnaQ5c-FyTs;1;3
u6uTcHQC-Esk5;23;48000;Hipotecada;5.0;76Z3TmEm-4lZW;Educativo;C;5000;13.99;0;0.1;D9wblpCD-LFdK;1;2
CDxOUhEu-b3QW;35;99800;Hipotecada;9.0;0jOIrGr7-3mIy;Pessoal;A;8000;7.14;0;0.08;4dJRRxN0-GpM1;0;9
asPXbSe1-Zfyo;22;45000;Alugada;6.0;OgjqhMsS-slJh;Pagamento de débitos;B;16000;10.59;1;0.36;qKWmsWvD-X1y1;0;4
zw1G3FLG-tku4;29;50000;Hipotecada;4.0;ZhWghdc1-PsrE;Médico;B;21850;12.42;0;0.44;v4ssLH7I-Gs7Y;0;10
pbrxxYCT-azkQ;27;35000;Alugada;8.0;Ocg8CEfd-dYA4;Pessoal;B;12000;9.91;1;0.34;OWpqlTfj-B7BP;0;8
rz6KYxBX-SCcJ;32;19200;Alugada;0.0;rexKO1Fs-lZn3;Empreendimento;B;5000;9.99;1;0.26;gngDxDmO-YH6A;0;6
Zx2PDoqF-vBJi;24;82000;Hipotecada;8.0;8AK6FttX-HrNB;Pessoal;A;6000;6.76;0;0.07;QCIoQ2Z0-aFDN;0;3
iWzdnAgb-suBH;36;39520;Própria;14.0;pn98XcB0-DUtg;Empreendimento;A;5000;5.79;0;0.13;Uzelr67n-v7SG;0;16
JxCz24oq-iSbh;26;120000;Alugada;11.0;QJpdYK4m-cbDw;Melhora do lar;C;10000;12.68;0;0.08;mGR46RER-d7Iq;0;2
K58ydOiW-a2I3;30;36000;Alugada;6.0;sxSX7s1R-Wo1r;Pagamento de débitos;C;4500;13.49;0;0.13;o65QapOc-tR0Z;1;6
bJNvNByL-bulA;25;155000;Hipotecada;9.0;8hWEWTjS-RzO6;Médico;A;18000;7.51;0;0.12;TZnTXZ7C-qADZ;0;2
tHhovZu7-yAyc;29;220000;Hipotecada;13.0;0eLybnh2-aE9r;Pagamento de débitos;B;8500;10.37;0;0.04;I4PWxFFm-Dx3k;0;5
QxguCoOz-A8TQ;28;215662;Hipotecada;12.0;YMTqlcva-hOXa;Empreendimento;B;21000;11.99;0;0.1;5N6Comwu-QDQT;0;7
5deB5DeT-OKAp;33;54000;Alugada;15.0;vwZi6gb8-h0ve;Pagamento de débitos;B;10000;10.99;0;0.19;s2fQ68Mw-HuT3;0;8
buTRyu8E-3IRL;21;45000;Alugada;3.0;dWAbSFLp-YN78;Pessoal;A;3200;6.54;0;0.07;mY9Zm8i5-0Alw;0;4
U5ZGAnOO-7X0A;24;44000;Alugada;2.0;GpPfyAEQ-xf4Q;Pessoal;A;10000;7.49;0;0.23;YMii0Ay8-3XdD;0;2
CSdxstlx-8mIo;26;103000;Hipotecada;0.0;7NsYjoqW-9Qss;Pessoal;C;14000;13.57;1;0.14;pSCbch2x-rw1l;0;4
1cOPf1qD-wFaf;36;45344;Hipotecada;11.0;Q9gpRLzs-elg5;Educativo;A;16750;7.88;0;0.37;w3Wj01jg-smjd;0;13
bIIEFC6P-kzO7;22;54000;Hipotecada;5.0;wz1bciBS-piE5;Médico;B;7000;10.65;0;0.13;0l4E1dd5-rPa1;0;2
H4gHoJtN-N10c;31;50402;Hipotecada;4.0;zhFY8hpf-ZSPD;Empreendimento;C;3000;13.22;0;0.06;kH3LU1Tq-Jgjt;1;10
u03tbyFD-kivI;21;53000;Hipotecada;5.0;6SlddJLo-ZorK;Empreendimento;C;18000;13.8;0;0.34;tZHUg48k-WmbY;1;3
o6mELtk2-D6w8;36;24000;Hipotecada;2.0;o4P4s9g8-zrLp;Pagamento de débitos;A;1500;9.63;0;0.06;a2Yd1SZQ-zF8G;0;16
lNh1ioty-uL1G;23;77004;Hipotecada;6.0;CPndc1jf-4kOA;Médico;A;12000;5.79;0;0.16;IwZrEtno-zrEH;0;3
yakFUmEZ-DOB4;25;95004;Hipotecada;9.0;vKJ4HhXw-tz5J;Educativo;A;18000;7.51;0;0.19;gnytRXfa-1YmA;0;4
Z7IrcAuM-hQ4e;30;62000;Alugada;14.0;QJKW0pkS-BYQN;Médico;B;12000;11.71;0;0.19;0vkNdjj2-gHxl;0;9
CblggIQq-7Fp8;23;80000;Própria;7.0;5O0Qypun-XtT4;Empreendimento;B;25000;9.99;0;0.31;De4YYLZ1-FY1g;0;3
kldtM1j3-f9BS;35;39000;Alugada;8.0;caP8lI9I-mlTd;Médico;B;5000;9.99;1;0.13;tDwgymBR-UP8q;0;6
bsjYmP00-XXsO;23;65000;Hipotecada;7.0;EXQXXO9g-llgX;Educativo;A;10500;6.03;0;0.16;Yj0s3Sns-mdCe;0;4
DJzWLXQf-bK7s;23;48000;Alugada;2.0;YCWrlpQJ-LCQf;Educativo;B;16000;10.0;1;0.33;rURZxss7-av0y;0;4
utAh29tr-5SKh;25;110004;Hipotecada;9.0;5cuXo8ct-ettp;Melhora do lar;A;15000;7.66;0;0.14;rQDifpHK-lhmT;0;4
HyQps3sR-bRxO;22;50000;Hipotecada;6.0;qxDsU9Gv-RruM;Pessoal;A;15000;7.9;0;0.3;y84fsHF6-8UmN;0;3
eeeNsG03-h61e;43;72800;Hipotecada;7.0;8iOqDmIF-tLRm;Melhora do lar;C;20000;12.84;0;0.27;6GYp2kvH-x55n;1;12
60YJzWEl-jNKh;23;30000;Alugada;7.0;BUkyfawG-eg3o;Educativo;B;3600;9.7;0;0.12;NFMzgZ5u-Weh4;0;3
IBn1Z7wt-cq4d;27;61000;Hipotecada;11.0;j7AjFW1k-pN9o;Médico;B;1200;10.37;0;0.02;zY295teH-bgKn;0;5
JlUHLUZA-rfPy;24;64000;Hipotecada;8.0;woPqremP-ROOh;Educativo;A;5000;7.88;1;0.08;kXb3MoC4-CC80;0;4
